F01,F02,F03,F04,T
5.1,3.4,1.5,0.2,1
5.1,3.3,1.7,0.5,1
5.1,2.5,3,1.1,2
5.109,4.095,1.443,0.052,1
5.109,3.495,1.443,0.152,1
5.109,3.395,1.343,0.152,1
5.109,2.695,3.843,1.352,2
5.164,4.145,1.411,0.173,1
5.164,3.545,1.411,0.273,1
5.164,3.445,1.311,0.273,1
5.164,2.745,3.811,1.473,2
5.168,3.823,1.545,0.368,1
5.168,3.823,1.645,0.268,1
5.168,3.823,1.945,0.468,1
5.168,3.723,1.545,0.468,1
5.168,3.523,1.445,0.368,1
5.168,3.523,1.445,0.268,1
5.168,3.423,1.545,0.268,1
5.168,3.323,1.745,0.568,1
5.168,2.523,3.045,1.168,2
5.2,4.1,1.5,0.1,1
5.2,3.5,1.5,0.2,1
5.2,3.4,1.4,0.2,1
5.2,2.7,3.9,1.4,2
5.209,3.695,1.443,0.152,1
5.264,3.745,1.411,0.273,1
5.268,4.123,1.545,0.168,1
5.268,3.523,1.545,0.268,1
5.268,3.423,1.445,0.268,1
5.268,2.723,3.945,1.468,2
5.3,3.7,1.5,0.2,1
5.309,3.895,1.243,0.352,1
5.309,3.895,1.643,0.352,1
5.309,3.695,1.443,0.152,1
5.309,3.395,1.443,0.352,1
5.309,3.395,1.643,0.152,1
5.309,2.995,4.443,1.452,2
5.364,3.945,1.211,0.473,1
5.364,3.945,1.611,0.473,1
5.364,3.745,1.411,0.273,1
5.364,3.445,1.411,0.473,1
5.364,3.445,1.611,0.273,1
5.364,3.045,4.411,1.573,2
5.368,3.723,1.545,0.268,1
5.4,3.9,1.3,0.4,1
5.4,3.9,1.7,0.4,1
5.4,3.7,1.5,0.2,1
5.4,3.4,1.5,0.4,1
5.4,3.4,1.7,0.2,1
5.4,3,4.5,1.5,2
5.409,4.195,1.343,0.152,1
5.409,3.495,1.243,0.152,1
5.409,2.595,4.343,1.152,2
5.409,2.495,3.943,1.252,2
5.409,2.395,3.643,0.952,2
5.409,2.395,3.743,1.052,2
5.409,2.295,3.943,1.252,2
5.464,4.245,1.311,0.273,1
5.464,3.545,1.211,0.273,1
5.464,2.645,4.311,1.273,2
5.464,2.545,3.911,1.373,2
5.464,2.445,3.611,1.073,2
5.464,2.445,3.711,1.173,2
5.464,2.345,3.911,1.373,2
5.468,3.923,1.345,0.468,1
5.468,3.923,1.745,0.468,1
5.468,3.723,1.545,0.268,1
5.468,3.423,1.545,0.468,1
5.468,3.423,1.745,0.268,1
5.468,3.023,4.545,1.568,2
5.5,4.2,1.4,0.2,1
5.5,3.5,1.3,0.2,1
5.5,2.6,4.4,1.2,2
5.5,2.5,4,1.3,2
5.5,2.4,3.7,1,2
5.5,2.4,3.8,1.1,2
5.5,2.3,4,1.3,2
5.509,2.995,4.043,1.252,2
5.509,2.995,4.443,1.452,2
5.509,2.895,3.543,1.252,2
5.509,2.795,4.843,1.952,3
5.509,2.695,4.143,1.252,2
5.509,2.495,3.843,1.052,2
5.564,3.045,4.011,1.373,2
5.564,3.045,4.411,1.573,2
5.564,2.945,3.511,1.373,2
5.564,2.845,4.811,2.073,3
5.564,2.745,4.111,1.373,2
5.564,2.545,3.811,1.173,2
5.568,4.223,1.445,0.268,1
5.568,3.523,1.345,0.268,1
5.568,2.623,4.445,1.268,2
5.568,2.523,4.045,1.368,2
5.568,2.423,3.745,1.068,2
5.568,2.423,3.845,1.168,2
5.568,2.323,4.045,1.368,2
5.6,3,4.1,1.3,2
5.6,3,4.5,1.5,2
5.6,2.9,3.6,1.3,2
5.6,2.8,4.9,2,3
5.6,2.7,4.2,1.3,2
5.6,2.5,3.9,1.1,2
5.609,4.395,1.443,0.352,1
5.609,3.795,1.643,0.252,1
5.609,2.995,4.143,1.152,2
5.609,2.895,4.143,1.252,2
5.609,2.795,4.043,1.252,2
5.609,2.795,4.443,1.252,2
5.609,2.595,3.443,0.952,2
5.609,2.495,4.943,1.952,3
5.664,4.445,1.411,0.473,1
5.664,3.845,1.611,0.373,1
5.664,3.045,4.111,1.273,2
5.664,2.945,4.111,1.373,2
5.664,2.845,4.011,1.373,2
5.664,2.845,4.411,1.373,2
5.664,2.645,3.411,1.073,2
5.664,2.545,4.911,2.073,3
5.668,3.023,4.145,1.368,2
5.668,3.023,4.545,1.568,2
5.668,2.923,3.645,1.368,2
5.668,2.823,4.945,2.068,3
5.668,2.723,4.245,1.368,2
5.668,2.523,3.945,1.168,2
5.7,4.4,1.5,0.4,1
5.7,3.8,1.7,0.3,1
5.7,3,4.2,1.2,2
5.7,2.9,4.2,1.3,2
5.7,2.8,4.1,1.3,2
5.7,2.8,4.5,1.3,2
5.7,2.6,3.5,1,2
5.7,2.5,5,2,3
5.709,3.995,1.143,0.152,1
5.709,2.795,5.043,2.352,3
5.709,2.695,3.843,1.152,2
5.709,2.695,4.043,0.952,2
5.709,2.695,5.043,1.852,3
5.709,2.695,5.043,1.852,3
5.709,2.595,3.943,1.152,2
5.764,4.045,1.111,0.273,1
5.764,2.845,5.011,2.473,3
5.764,2.745,3.811,1.273,2
5.764,2.745,4.011,1.073,2
5.764,2.745,5.011,1.973,3
5.764,2.745,5.011,1.973,3
5.764,2.645,3.911,1.273,2
5.768,4.423,1.545,0.468,1
5.768,3.823,1.745,0.368,1
5.768,3.023,4.245,1.268,2
5.768,2.923,4.245,1.368,2
5.768,2.823,4.145,1.368,2
5.768,2.823,4.545,1.368,2
5.768,2.623,3.545,1.068,2
5.768,2.523,5.045,2.068,3
5.8,4,1.2,0.2,1
5.8,2.8,5.1,2.4,3
5.8,2.7,3.9,1.2,2
5.8,2.7,4.1,1,2
5.8,2.7,5.1,1.9,3
5.8,2.7,5.1,1.9,3
5.8,2.6,4,1.2,2
5.809,3.195,4.743,1.752,2
5.809,2.995,4.143,1.452,2
5.809,2.995,5.043,1.752,3
5.864,3.245,4.711,1.873,2
5.864,3.045,4.111,1.573,2
5.864,3.045,5.011,1.873,3
5.868,4.023,1.245,0.268,1
5.868,2.823,5.145,2.468,3
5.868,2.723,3.945,1.268,2
5.868,2.723,4.145,1.068,2
5.868,2.723,5.145,1.968,3
5.868,2.723,5.145,1.968,3
5.868,2.623,4.045,1.268,2
5.9,3.2,4.8,1.8,2
5.9,3,4.2,1.5,2
5.9,3,5.1,1.8,3
5.909,3.395,4.443,1.552,2
5.909,2.995,4.743,1.752,3
5.909,2.895,4.443,1.452,2
5.909,2.695,5.043,1.552,2
5.909,2.195,3.943,0.952,2
5.909,2.195,4.943,1.452,3
5.964,3.445,4.411,1.673,2
5.964,3.045,4.711,1.873,3
5.964,2.945,4.411,1.573,2
5.964,2.745,5.011,1.673,2
5.964,2.245,3.911,1.073,2
5.964,2.245,4.911,1.573,3
5.968,3.223,4.845,1.868,2
5.968,3.023,4.245,1.568,2
5.968,3.023,5.145,1.868,3
6,3.4,4.5,1.6,2
6,3,4.8,1.8,3
6,2.9,4.5,1.5,2
6,2.7,5.1,1.6,2
6,2.2,4,1,2
6,2.2,5,1.5,3
6.009,2.995,4.543,1.352,2
6.009,2.995,4.843,1.752,3
6.009,2.895,4.643,1.352,2
6.009,2.795,3.943,1.252,2
6.009,2.795,4.643,1.152,2
6.009,2.595,5.543,1.352,3
6.064,3.045,4.511,1.473,2
6.064,3.045,4.811,1.873,3
6.064,2.945,4.611,1.473,2
6.064,2.845,3.911,1.373,2
6.064,2.845,4.611,1.273,2
6.064,2.645,5.511,1.473,3
6.068,3.423,4.545,1.668,2
6.068,3.023,4.845,1.868,3
6.068,2.923,4.545,1.568,2
6.068,2.723,5.145,1.668,2
6.068,2.223,4.045,1.068,2
6.068,2.223,5.045,1.568,3
6.1,3,4.6,1.4,2
6.1,3,4.9,1.8,3
6.1,2.9,4.7,1.4,2
6.1,2.8,4,1.3,2
6.1,2.8,4.7,1.2,2
6.1,2.6,5.6,1.4,3
6.109,3.395,5.343,2.252,3
6.109,2.895,4.243,1.252,2
6.109,2.795,4.743,1.752,3
6.109,2.195,4.443,1.452,2
6.164,3.445,5.311,2.373,3
6.164,2.945,4.211,1.373,2
6.164,2.845,4.711,1.873,3
6.164,2.245,4.411,1.573,2
6.168,3.023,4.645,1.468,2
6.168,3.023,4.945,1.868,3
6.168,2.923,4.745,1.468,2
6.168,2.823,4.045,1.368,2
6.168,2.823,4.745,1.268,2
6.168,2.623,5.645,1.468,3
6.2,3.4,5.4,2.3,3
6.2,2.9,4.3,1.3,2
6.2,2.8,4.8,1.8,3
6.2,2.2,4.5,1.5,2
6.209,3.395,5.543,2.352,3
6.209,3.295,4.643,1.552,2
6.209,3.295,5.943,2.452,3
6.209,2.895,5.543,1.752,3
6.209,2.795,5.043,1.452,3
6.209,2.695,4.843,1.752,3
6.209,2.495,4.843,1.452,2
6.209,2.495,4.943,1.852,3
6.209,2.295,4.343,1.252,2
6.264,3.445,5.511,2.473,3
6.264,3.345,4.611,1.673,2
6.264,3.345,5.911,2.573,3
6.264,2.945,5.511,1.873,3
6.264,2.845,5.011,1.573,3
6.264,2.745,4.811,1.873,3
6.264,2.545,4.811,1.573,2
6.264,2.545,4.911,1.973,3
6.264,2.345,4.311,1.373,2
6.268,3.423,5.445,2.368,3
6.268,2.923,4.345,1.368,2
6.268,2.823,4.845,1.868,3
6.268,2.223,4.545,1.568,2
6.3,3.4,5.6,2.4,3
6.3,3.3,4.7,1.6,2
6.3,3.3,6,2.5,3
6.3,2.9,5.6,1.8,3
6.3,2.8,5.1,1.5,3
6.3,2.7,4.9,1.8,3
6.3,2.5,4.9,1.5,2
6.3,2.5,5,1.9,3
6.3,2.3,4.4,1.3,2
6.309,3.195,4.443,1.452,2
6.309,3.195,5.243,2.252,3
6.309,3.095,5.443,1.752,3
6.309,2.895,4.243,1.252,2
6.309,2.795,5.543,2.152,3
6.309,2.795,5.543,2.052,3
6.309,2.695,5.243,1.852,3
6.364,3.245,4.411,1.573,2
6.364,3.245,5.211,2.373,3
6.364,3.145,5.411,1.873,3
6.364,2.945,4.211,1.373,2
6.364,2.845,5.511,2.273,3
6.364,2.845,5.511,2.173,3
6.364,2.745,5.211,1.973,3
6.368,3.423,5.645,2.468,3
6.368,3.323,4.745,1.668,2
6.368,3.323,6.045,2.568,3
6.368,2.923,5.645,1.868,3
6.368,2.823,5.145,1.568,3
6.368,2.723,4.945,1.868,3
6.368,2.523,4.945,1.568,2
6.368,2.523,5.045,1.968,3
6.368,2.323,4.445,1.368,2
6.4,3.2,4.5,1.5,2
6.4,3.2,5.3,2.3,3
6.4,3.1,5.5,1.8,3
6.4,2.9,4.3,1.3,2
6.4,2.8,5.6,2.2,3
6.4,2.8,5.6,2.1,3
6.4,2.7,5.3,1.9,3
6.409,3.195,5.043,1.952,3
6.409,2.995,5.143,1.952,3
6.409,2.995,5.443,1.752,3
6.409,2.995,5.743,2.152,3
6.409,2.795,4.543,1.452,2
6.464,3.245,5.011,2.073,3
6.464,3.045,5.111,2.073,3
6.464,3.045,5.411,1.873,3
6.464,3.045,5.711,2.273,3
6.464,2.845,4.511,1.573,2
6.468,3.223,4.545,1.568,2
6.468,3.223,5.345,2.368,3
6.468,3.123,5.545,1.868,3
6.468,2.923,4.345,1.368,2
6.468,2.823,5.645,2.268,3
6.468,2.823,5.645,2.168,3
6.468,2.723,5.345,1.968,3
6.5,3.2,5.1,2,3
6.5,3,5.2,2,3
6.5,3,5.5,1.8,3
6.5,3,5.8,2.2,3
6.5,2.8,4.6,1.5,2
6.509,2.995,4.343,1.352,2
6.509,2.895,4.543,1.252,2
6.564,3.045,4.311,1.473,2
6.564,2.945,4.511,1.373,2
6.568,3.223,5.145,2.068,3
6.568,3.023,5.245,2.068,3
6.568,3.023,5.545,1.868,3
6.568,3.023,5.845,2.268,3
6.568,2.823,4.645,1.568,2
6.6,3,4.4,1.4,2
6.6,2.9,4.6,1.3,2
6.609,3.295,5.643,2.452,3
6.609,3.295,5.643,2.052,3
6.609,3.095,4.343,1.352,2
6.609,3.095,4.643,1.452,2
6.609,3.095,5.543,2.352,3
6.609,2.995,4.943,1.652,2
6.609,2.995,5.143,2.252,3
6.609,2.495,5.743,1.752,3
6.664,3.345,5.611,2.573,3
6.664,3.345,5.611,2.173,3
6.664,3.145,4.311,1.473,2
6.664,3.145,4.611,1.573,2
6.664,3.145,5.511,2.473,3
6.664,3.045,4.911,1.773,2
6.664,3.045,5.111,2.373,3
6.664,2.545,5.711,1.873,3
6.668,3.023,4.445,1.468,2
6.668,2.923,4.645,1.368,2
6.7,3.3,5.7,2.5,3
6.7,3.3,5.7,2.1,3
6.7,3.1,4.4,1.4,2
6.7,3.1,4.7,1.5,2
6.7,3.1,5.6,2.4,3
6.7,3,5,1.7,2
6.7,3,5.2,2.3,3
6.7,2.5,5.8,1.8,3
6.709,3.195,5.843,2.252,3
6.709,2.995,5.443,2.052,3
6.709,2.795,4.743,1.352,2
6.764,3.245,5.811,2.373,3
6.764,3.045,5.411,2.173,3
6.764,2.845,4.711,1.473,2
6.768,3.323,5.745,2.568,3
6.768,3.323,5.745,2.168,3
6.768,3.123,4.445,1.468,2
6.768,3.123,4.745,1.568,2
6.768,3.123,5.645,2.468,3
6.768,3.023,5.045,1.768,2
6.768,3.023,5.245,2.368,3
6.768,2.523,5.845,1.868,3
6.8,3.2,5.9,2.3,3
6.8,3,5.5,2.1,3
6.8,2.8,4.8,1.4,2
6.809,3.195,5.643,2.252,3
6.809,3.095,4.843,1.452,2
6.809,3.095,5.043,2.252,3
6.809,3.095,5.343,2.052,3
6.864,3.245,5.611,2.373,3
6.864,3.145,4.811,1.573,2
6.864,3.145,5.011,2.373,3
6.864,3.145,5.311,2.173,3
6.868,3.223,5.945,2.368,3
6.868,3.023,5.545,2.168,3
6.868,2.823,4.845,1.468,2
6.9,3.2,5.7,2.3,3
6.9,3.1,4.9,1.5,2
6.9,3.1,5.1,2.3,3
6.9,3.1,5.4,2.1,3
6.909,3.195,4.643,1.352,2
6.964,3.245,4.611,1.473,2
6.968,3.223,5.745,2.368,3
6.968,3.123,4.945,1.568,2
6.968,3.123,5.145,2.368,3
6.968,3.123,5.445,2.168,3
7,3.2,4.7,1.4,2
7.009,2.995,5.843,2.052,3
7.064,3.045,5.811,2.173,3
7.068,3.223,4.745,1.468,2
7.1,3,5.9,2.1,3
7.109,3.595,6.043,2.452,3
7.109,3.195,5.943,1.752,3
7.109,2.995,5.743,1.552,3
7.164,3.645,6.011,2.573,3
7.164,3.245,5.911,1.873,3
7.164,3.045,5.711,1.673,3
7.168,3.023,5.945,2.168,3
7.2,3.6,6.1,2.5,3
7.2,3.2,6,1.8,3
7.2,3,5.8,1.6,3
7.209,2.895,6.243,1.752,3
7.264,2.945,6.211,1.873,3
7.268,3.623,6.145,2.568,3
7.268,3.223,6.045,1.868,3
7.268,3.023,5.845,1.668,3
7.3,2.9,6.3,1.8,3
7.309,2.795,6.043,1.852,3
7.364,2.845,6.011,1.973,3
7.368,2.923,6.345,1.868,3
7.4,2.8,6.1,1.9,3
7.468,2.823,6.145,1.968,3
7.509,2.995,6.543,2.052,3
7.564,3.045,6.511,2.173,3
7.6,3,6.6,2.1,3
7.609,3.795,6.643,2.152,3
7.609,2.995,6.043,2.252,3
7.609,2.795,6.643,1.952,3
7.609,2.595,6.843,2.252,3
7.664,3.845,6.611,2.273,3
7.664,3.045,6.011,2.373,3
7.664,2.845,6.611,2.073,3
7.664,2.645,6.811,2.373,3
7.668,3.023,6.645,2.168,3
7.7,3.8,6.7,2.2,3
7.7,3,6.1,2.3,3
7.7,2.8,6.7,2,3
7.7,2.6,6.9,2.3,3
7.768,3.823,6.745,2.268,3
7.768,3.023,6.145,2.368,3
7.768,2.823,6.745,2.068,3
7.768,2.623,6.945,2.368,3
7.809,3.795,6.343,1.952,3
7.864,3.845,6.311,2.073,3
7.9,3.8,6.4,2,3
7.968,3.823,6.445,2.068,3
14.209,12.995,11.043,10.052,4
14.264,13.045,11.011,10.173,4
14.3,13,11.1,10.1,4
14.309,13.195,11.243,10.152,4
14.309,12.995,11.243,10.152,4
14.309,12.895,11.343,10.152,4
14.364,13.245,11.211,10.273,4
14.364,13.045,11.211,10.273,4
14.364,12.945,11.311,10.273,4
14.368,13.023,11.145,10.168,4
14.4,13.2,11.3,10.2,4
14.4,13,11.3,10.2,4
14.4,12.9,11.4,10.2,4
14.409,12.295,11.243,10.252,4
14.464,12.345,11.211,10.373,4
14.468,13.223,11.345,10.268,4
14.468,13.023,11.345,10.268,4
14.468,12.923,11.445,10.268,4
14.5,12.3,11.3,10.3,4
14.509,13.595,10.943,10.152,4
14.509,13.395,11.343,10.252,4
14.509,13.195,11.343,10.152,4
14.509,13.095,11.443,10.152,4
14.564,13.645,10.911,10.273,4
14.564,13.445,11.311,10.373,4
14.564,13.245,11.311,10.273,4
14.564,13.145,11.411,10.273,4
14.568,12.323,11.345,10.368,4
14.6,13.6,11,10.2,4
14.6,13.4,11.4,10.3,4
14.6,13.2,11.4,10.2,4
14.6,13.1,11.5,10.2,4
14.609,13.195,11.243,10.152,4
14.609,13.195,11.543,10.152,4
14.664,13.245,11.211,10.273,4
14.664,13.245,11.511,10.273,4
14.668,13.623,11.045,10.268,4
14.668,13.423,11.445,10.368,4
14.668,13.223,11.445,10.268,4
14.668,13.123,11.545,10.268,4
14.7,13.2,11.3,10.2,4
14.7,13.2,11.6,10.2,4
14.709,13.395,11.543,10.152,4
14.709,13.395,11.843,10.152,4
14.709,13.095,11.543,10.152,4
14.709,12.995,11.343,10.252,4
14.709,12.995,11.343,10.052,4
14.764,13.445,11.511,10.273,4
14.764,13.445,11.811,10.273,4
14.764,13.145,11.511,10.273,4
14.764,13.045,11.311,10.373,4
14.764,13.045,11.311,10.173,4
14.768,13.223,11.345,10.268,4
14.768,13.223,11.645,10.268,4
14.8,13.4,11.6,10.2,4
14.8,13.4,11.9,10.2,4
14.8,13.1,11.6,10.2,4
14.8,13,11.4,10.3,4
14.8,13,11.4,10.1,4
14.809,13.095,11.443,10.052,4
14.809,13.095,11.443,10.052,4
14.809,13.095,11.443,10.052,4
14.809,12.995,11.343,10.152,4
14.809,12.495,14.443,11.652,4
14.809,12.395,13.243,10.952,4
14.864,13.145,11.411,10.173,4
14.864,13.145,11.411,10.173,4
14.864,13.145,11.411,10.173,4
14.864,13.045,11.311,10.273,4
14.864,12.545,14.411,11.773,4
14.864,12.445,13.211,11.073,4
14.868,13.423,11.645,10.268,4
14.868,13.423,11.945,10.268,4
14.868,13.123,11.645,10.268,4
14.868,13.023,11.445,10.368,4
14.868,13.023,11.445,10.168,4
14.9,13.1,11.5,10.1,4
14.9,13.1,11.5,10.1,4
14.9,13.1,11.5,10.1,4
14.9,13,11.4,10.2,4
14.9,12.5,14.5,11.7,4
14.9,12.4,13.3,11,4
14.909,13.595,11.343,10.152,4
14.909,13.495,11.243,10.252,4
14.909,13.495,11.543,10.552,4
14.909,13.395,11.443,10.152,4
14.909,13.395,11.543,10.352,4
14.909,13.295,11.343,10.152,4
14.909,13.195,11.143,10.152,4
14.909,12.995,11.543,10.152,4
14.909,12.295,13.243,10.952,4
14.909,11.995,13.443,10.952,4
14.964,13.645,11.311,10.273,4
14.964,13.545,11.211,10.373,4
14.964,13.545,11.511,10.673,4
14.964,13.445,11.411,10.273,4
14.964,13.445,11.511,10.473,4
14.964,13.345,11.311,10.273,4
14.964,13.245,11.111,10.273,4
14.964,13.045,11.511,10.273,4
14.964,12.345,13.211,11.073,4
14.964,12.045,13.411,11.073,4
14.968,13.123,11.545,10.168,4
14.968,13.123,11.545,10.168,4
14.968,13.123,11.545,10.168,4
14.968,13.023,11.445,10.268,4
14.968,12.523,14.545,11.768,4
14.968,12.423,13.345,11.068,4
15,13.6,11.4,10.2,4
15,13.5,11.3,10.3,4
15,13.5,11.6,10.6,4
15,13.4,11.5,10.2,4
15,13.4,11.6,10.4,4
15,13.3,11.4,10.2,4
15,13.2,11.2,10.2,4
15,13,11.6,10.2,4
15,12.3,13.3,11,4
15,12,13.5,11,4
15.009,13.795,11.443,10.252,4
15.009,13.795,11.543,10.152,4
15.009,13.795,11.843,10.352,4
15.009,13.695,11.443,10.352,4
15.009,13.495,11.343,10.252,4
15.009,13.495,11.343,10.152,4
15.009,13.395,11.443,10.152,4
15.009,13.295,11.643,10.452,4
15.009,12.495,12.943,11.052,4
15.064,13.845,11.411,10.373,4
15.064,13.845,11.511,10.273,4
15.064,13.845,11.811,10.473,4
15.064,13.745,11.411,10.473,4
15.064,13.545,11.311,10.373,4
15.064,13.545,11.311,10.273,4
15.064,13.445,11.411,10.273,4
15.064,13.345,11.611,10.573,4
15.064,12.545,12.911,11.173,4
15.068,13.623,11.445,10.268,4
15.068,13.523,11.345,10.368,4
15.068,13.523,11.645,10.668,4
15.068,13.423,11.545,10.268,4
15.068,13.423,11.645,10.468,4
15.068,13.323,11.445,10.268,4
15.068,13.223,11.245,10.268,4
15.068,13.023,11.645,10.268,4
15.068,12.323,13.345,11.068,4
15.068,12.023,13.545,11.068,4
15.1,13.8,11.5,10.3,4
15.1,13.8,11.6,10.2,4
15.1,13.8,11.9,10.4,4
15.1,13.7,11.5,10.4,4
15.1,13.5,11.4,10.3,4
15.1,13.5,11.4,10.2,4
15.1,13.4,11.5,10.2,4
15.1,13.3,11.7,10.5,4
15.1,12.5,13,11.1,4
15.109,14.095,11.443,10.052,4
15.109,13.495,11.443,10.152,4
15.109,13.395,11.343,10.152,4
15.109,12.695,13.843,11.352,4
15.164,14.145,11.411,10.173,4
15.164,13.545,11.411,10.273,4
15.164,13.445,11.311,10.273,4
15.164,12.745,13.811,11.473,4
15.168,13.823,11.545,10.368,4
15.168,13.823,11.645,10.268,4
15.168,13.823,11.945,10.468,4
15.168,13.723,11.545,10.468,4
15.168,13.523,11.445,10.368,4
15.168,13.523,11.445,10.268,4
15.168,13.423,11.545,10.268,4
15.168,13.323,11.745,10.568,4
15.168,12.523,13.045,11.168,4
15.2,14.1,11.5,10.1,4
15.2,13.5,11.5,10.2,4
15.2,13.4,11.4,10.2,4
15.2,12.7,13.9,11.4,4
15.209,13.695,11.443,10.152,4
15.264,13.745,11.411,10.273,4
15.268,14.123,11.545,10.168,4
15.268,13.523,11.545,10.268,4
15.268,13.423,11.445,10.268,4
15.268,12.723,13.945,11.468,4
15.3,13.7,11.5,10.2,4
15.309,13.895,11.243,10.352,4
15.309,13.895,11.643,10.352,4
15.309,13.695,11.443,10.152,4
